customer_id,order_cost,day_type,rating,rating_given,prep_time,delivery_time
337525,30.75,Weekend,Not given,False,25,20
358141,12.08,Weekend,Not given,False,25,23
106968,29.2,Weekend,3,True,25,15
157711,6.07,Weekend,Not given,False,28,21
221206,8.1,Weekend,5,True,23,22
129969,24.3,Weekend,5,True,23,17
104548,11.3,Weekend,3,True,24,23
66222,16.2,Weekend,5,True,33,25
104555,16.98,Weekend,Not given,False,30,16
139885,33.03,Weekend,Not given,False,21,22
47280,14.12,Weekend,4,True,25,24
67487,16.2,Weekend,4,True,35,26
250494,24.2,Weekend,4,True,21,24
137565,15.91,Weekend,Not given,False,25,20
54630,8.92,Weekend,Not given,False,33,16
175290,14.02,Weekend,Not given,False,24,16
76686,9.17,Weekend,Not given,False,21,24
318874,31.33,Weekend,5,True,28,25
302790,29.05,Weekend,5,True,35,24
105349,9.12,Weekend,Not given,False,34,18
181782,29.1,Weekend,5,True,30,26
65224,15.47,Weekend,Not given,False,32,26
220693,19.89,Weekend,Not given,False,27,19
378482,19.35,Weekend,4,True,21,18
337525,33.22,Weekend,Not given,False,23,19
133637,24.25,Weekend,5,True,22,15
107909,16.44,Weekend,Not given,False,33,22
365237,22.75,Weekend,5,True,30,20
322162,6.74,Weekend,5,True,29,23
198802,29.05,Weekend,5,True,22,30
122864,13.78,Weekend,4,True,34,24
81110,16.93,Weekend,5,True,33,21
300003,21.88,Weekend,Not given,False,21,19
91817,29.39,Weekend,Not given,False,27,28
112036,20.23,Weekend,5,True,22,20
73895,29.1,Weekend,Not given,False,22,23
130507,22.75,Weekend,3,True,35,29
129486,14.12,Weekend,3,True,31,15
176234,14.02,Weekend,5,True,20,30
388918,24.25,Weekend,Not given,False,28,21
68551,33.03,Weekend,Not given,False,33,20
152786,31.38,Weekend,4,True,23,27
398426,12.46,Weekend,4,True,24,20
130820,15.86,Weekend,5,True,29,23
200074,14.55,Weekend,Not given,False,34,22
65009,32.93,Weekend,5,True,24,23
170221,16.98,Weekend,Not given,False,22,21
58092,8.0,Weekend,5,True,27,23
50616,13.05,Weekend,Not given,False,28,27
133202,29.05,Weekend,5,True,31,16
77341,16.93,Weekend,Not given,False,30,25
97079,29.29,Weekend,5,True,20,18
150002,16.15,Weekend,5,True,20,29
87472,22.75,Weekend,Not given,False,31,30
231061,13.34,Weekend,4,True,34,27
56722,9.75,Weekend,5,True,33,25
67538,12.56,Weekend,5,True,22,18
129969,21.2,Weekend,Not given,False,34,16
57174,19.31,Weekend,Not given,False,27,28
184085,14.79,Weekend,5,True,35,15
65009,16.15,Weekend,5,True,24,30
154030,33.03,Weekend,4,True,26,22
86731,16.2,Weekend,5,True,31,18
164016,16.39,Weekend,Not given,False,27,22
68976,17.03,Weekend,3,True,26,30
80460,21.83,Weekend,3,True,30,27
142356,11.83,Weekend,4,True,26,21
83287,24.3,Weekend,5,True,30,20
134152,22.26,Weekend,Not given,False,28,25
345899,20.47,Weekend,4,True,26,30
38050,12.18,Weekend,5,True,28,25
259341,15.81,Weekend,5,True,20,26
309513,22.36,Weekend,5,True,26,27
234089,8.68,Weekend,5,True,34,27
125123,21.83,Weekend,Not given,False,23,22
49793,22.36,Weekend,5,True,30,16
214394,16.1,Weekend,Not given,False,33,27
82041,12.95,Weekend,5,True,26,28
59419,11.69,Weekend,5,True,21,24
50199,12.13,Weekend,Not given,False,26,15
